days_rel_to_CRS,cytokine,num_patients,carHLH_pos,carHLH_neg,carHLH_pos_mean,carHLH_neg_mean,carHLH_pos_log10_mean,carHLH_neg_log10_mean,carHLH_pos_log10_median,carHLH_neg_log10_median,carHLH_pos_log10_IQR,carHLH_neg_log10_IQR,wilcox_pvalue,log2fc,padj_FDR
5,IL-15,36,18,18,20.24555556,13.775,1.127803094,0.9080766,1.307399375,0.78886593,0.563836177,0.343969437,0.05487636,0.555552914,0.0587961
6,IL-15,40,20,20,15.12335,7.6816,0.990303065,0.799767366,1.02160193,0.746931091,0.586999897,0.352099053,0.090892229,0.977299003,0.104875648
7,IL-15,34,17,17,9.445882353,10.40017647,0.825864925,0.747282125,0.838219222,0.722633923,0.561580959,0.349044834,0.418236317,-0.138850536,0.44811034
8,IL-15,34,17,17,8.413529412,6.546823529,0.802851463,0.726223196,0.899273187,0.71432976,0.567745249,0.406724689,0.535237414,0.361916036,0.535237414
9,IL-15,28,16,12,6.564375,6.7105,0.744245852,0.773593944,0.820856007,0.778890703,0.487165358,0.327306534,0.873052393,-0.031762608,0.980963739
10,IL-15,34,18,16,7.12,6.49025,0.752270041,0.75522843,0.81017215,0.750238308,0.458321071,0.354342567,0.878248025,0.13360319,0.940980027
-10,IL-18,6,1,5,300.999,550.1082,2.478565053,2.693628502,2.478565053,2.732458899,0,0.333922011,0.666666667,-0.869956714,0.957264957
-9,IL-18,9,4,5,587.2365,339.4942,2.687922039,2.464766836,2.642640182,2.397979962,0.454276248,0.227217355,0.285714286,0.790554715,0.876345159
-8,IL-18,11,5,6,597.5172,527.6871667,2.743448118,2.659968993,2.836896678,2.62848652,0.181944907,0.390430075,0.662337662,0.179297345,0.925782801
-7,IL-18,20,9,11,653.3718889,360.441,2.767906533,2.511051667,2.877932571,2.485126348,0.222519554,0.242547077,0.031031198,0.858141258,0.444170088
-6,IL-18,14,6,8,609.0998333,470.988125,2.730270946,2.611278226,2.766407329,2.646810476,0.375153455,0.227363916,0.344988345,0.370988024,0.838642849
